iter	Passed	Remaining
832	2629	527
833	2632	524
834	2635	520
835	2638	517
836	2641	514
837	2644	511
838	2647	508
839	2650	504
840	2653	501
841	2657	498
842	2660	495
843	2663	492
844	2666	489
845	2669	485
846	2672	482
847	2676	479
848	2679	476
849	2682	473
850	2684	470
851	2688	466
852	2691	463
853	2694	460
854	2697	457
855	2699	454
856	2703	451
857	2706	447
858	2709	444
859	2711	441
860	2714	438
861	2717	435
862	2720	431
863	2723	428
864	2726	425
865	2729	422
866	2732	419
867	2736	416
868	2738	412
869	2742	409
870	2745	406
871	2748	403
872	2751	400
873	2754	397
874	2757	393
875	2761	390
876	2765	387
877	2768	384
878	2771	381
879	2773	378
880	2776	375
881	2779	371
882	2782	368
883	2785	365
884	2789	362
885	2792	359
886	2796	356
887	2799	353
888	2802	349
889	2804	346
890	2806	343
891	2810	340
892	2812	337
893	2815	333
894	2818	330
895	2821	327
896	2823	324
897	2826	321
898	2829	317
899	2831	314
900	2834	311
901	2836	308
902	2839	305
903	2843	301
904	2846	298
905	2848	295
906	2851	292
907	2854	289
908	2857	286
909	2860	282
910	2863	279
911	2866	276
912	2869	273
913	2871	270
914	2874	267
915	2877	263
916	2880	260
917	2882	257
918	2885	254
919	2887	251
920	2890	247
921	2893	244
922	2895	241
923	2899	238
924	2902	235
925	2904	232
926	2907	228
927	2909	225
928	2912	222
929	2915	219
930	2918	216
931	2921	213
932	2924	210
933	2927	206
934	2930	203
935	2933	200
936	2936	197
937	2938	194
938	2941	191
939	2943	187
940	2946	184
941	2949	181
942	2951	178
943	2954	175
944	2957	172
945	2959	168
946	2962	165
947	2965	162
948	2967	159
949	2970	156
950	2972	153
951	2975	150
952	2977	146
953	2980	143
954	2982	140
955	2985	137
956	2988	134
957	2991	131
958	2993	127
959	2996	124
960	2999	121
961	3001	118
962	3004	115
963	3006	112
964	3009	109
965	3012	106
966	3015	102
967	3018	99
968	3021	96
969	3025	93
970	3027	90
971	3031	87
972	3033	84
973	3036	81
974	3039	77
975	3041	74
976	3044	71
977	3047	68
978	3051	65
979	3054	62
980	3057	59
981	3060	56
982	3063	52
983	3066	49
984	3069	46
985	3072	43
986	3075	40
987	3078	37
988	3081	34
989	3084	31
990	3087	28
991	3090	24
992	3093	21
993	3096	18
994	3098	15
995	3101	12
996	3104	9
997	3108	6
998	3111	3
999	3114	0
